IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
5.10.244.36,443,true,LAX,North America,Los Angeles,198,3.69
5.10.244.189,443,true,LAX,North America,Los Angeles,182,3.69
5.10.244.108,443,true,LAX,North America,Los Angeles,172,3.69
5.10.246.90,443,true,LAX,North America,Los Angeles,190,3.69
130.250.137.131,443,true,LAX,North America,Los Angeles,182,3.69
45.131.209.88,443,true,LAX,North America,Los Angeles,168,3.69
5.10.245.8,443,true,LAX,North America,Los Angeles,188,3.69
5.10.244.170,443,true,LAX,North America,Los Angeles,183,3.69
130.250.137.59,443,true,LAX,North America,Los Angeles,176,3.68
5.10.245.111,443,true,LAX,North America,Los Angeles,188,3.68
45.202.113.39,443,true,LAX,North America,Los Angeles,173,3.68
5.10.244.205,443,true,LAX,North America,Los Angeles,179,3.68
45.131.208.102,443,true,LAX,North America,Los Angeles,176,3.68
31.12.75.25,443,true,LAX,North America,Los Angeles,187,3.67
108.162.194.22,443,true,LAX,North America,Los Angeles,184,3.67
5.10.247.49,443,true,LAX,North America,Los Angeles,185,3.67
5.10.246.240,443,true,LAX,North America,Los Angeles,183,3.67
45.131.211.102,443,true,LAX,North America,Los Angeles,186,3.67
5.10.245.27,443,true,LAX,North America,Los Angeles,193,3.67
5.10.245.131,443,true,LAX,North America,Los Angeles,175,3.67
5.10.244.188,443,true,LAX,North America,Los Angeles,192,3.67
108.162.194.46,443,true,LAX,North America,Los Angeles,177,3.66
5.10.245.181,443,true,LAX,North America,Los Angeles,182,3.65
5.10.246.115,443,true,LAX,North America,Los Angeles,176,3.65
5.10.244.100,443,true,LAX,North America,Los Angeles,252,3.65
5.10.247.116,443,true,LAX,North America,Los Angeles,191,3.65
5.10.244.58,443,true,LAX,North America,Los Angeles,250,3.65
45.131.208.81,443,true,LAX,North America,Los Angeles,173,3.65
5.10.244.6,443,true,LAX,North America,Los Angeles,187,3.65
130.250.137.167,443,true,LAX,North America,Los Angeles,169,3.65
130.250.137.240,443,true,LAX,North America,Los Angeles,185,3.65
5.10.246.44,443,true,LAX,North America,Los Angeles,187,3.64
5.10.246.138,443,true,LAX,North America,Los Angeles,171,3.63
5.10.246.60,443,true,LAX,North America,Los Angeles,178,3.63
5.10.246.51,443,true,LAX,North America,Los Angeles,171,3.63
38.47.117.77,443,true,LAX,North America,Los Angeles,137,3.63
5.10.244.102,443,true,LAX,North America,Los Angeles,185,3.63
5.10.244.17,443,true,LAX,North America,Los Angeles,187,3.63
5.10.244.83,443,true,LAX,North America,Los Angeles,183,3.63
45.131.208.41,443,true,LAX,North America,Los Angeles,183,3.63
5.10.246.81,443,true,LAX,North America,Los Angeles,178,3.63
135.84.64.19,443,true,LAX,North America,Los Angeles,187,3.62
5.10.246.156,443,true,LAX,North America,Los Angeles,188,3.62
5.10.244.202,443,true,LAX,North America,Los Angeles,181,3.62
5.10.244.223,443,true,LAX,North America,Los Angeles,189,3.62
5.10.247.41,443,true,LAX,North America,Los Angeles,176,3.62
108.162.194.185,443,true,LAX,North America,Los Angeles,177,3.62
130.250.137.111,443,true,LAX,North America,Los Angeles,182,3.62
5.10.245.187,443,true,LAX,North America,Los Angeles,191,3.62
5.10.247.82,443,true,LAX,North America,Los Angeles,180,3.62
5.10.244.241,443,true,LAX,North America,Los Angeles,175,3.62
5.10.245.196,443,true,LAX,North America,Los Angeles,179,3.61
5.10.244.31,443,true,LAX,North America,Los Angeles,174,3.61
130.250.137.87,443,true,LAX,North America,Los Angeles,184,3.61
108.162.194.146,443,true,LAX,North America,Los Angeles,188,3.61
45.131.210.117,443,true,LAX,North America,Los Angeles,183,3.61
31.12.75.36,443,true,LAX,North America,Los Angeles,175,3.61
45.131.211.224,443,true,LAX,North America,Los Angeles,182,3.61
5.10.244.176,443,true,LAX,North America,Los Angeles,185,3.60
45.131.209.159,443,true,LAX,North America,Los Angeles,183,3.60
130.250.137.6,443,true,LAX,North America,Los Angeles,177,3.60
5.10.244.198,443,true,LAX,North America,Los Angeles,183,3.60
5.10.244.145,443,true,LAX,North America,Los Angeles,188,3.60
31.12.75.87,443,true,LAX,North America,Los Angeles,176,3.60
45.131.209.167,443,true,LAX,North America,Los Angeles,183,3.60
5.10.245.96,443,true,LAX,North America,Los Angeles,175,3.60
130.250.137.113,443,true,LAX,North America,Los Angeles,175,3.60
5.10.245.224,443,true,LAX,North America,Los Angeles,174,3.59
45.131.209.3,443,true,LAX,North America,Los Angeles,178,3.59
5.10.244.238,443,true,LAX,North America,Los Angeles,176,3.59
45.202.113.215,443,true,LAX,North America,Los Angeles,179,3.58
5.10.244.183,443,true,LAX,North America,Los Angeles,165,3.58
5.10.245.236,443,true,LAX,North America,Los Angeles,173,3.58
45.202.113.252,443,true,LAX,North America,Los Angeles,172,3.58
5.10.244.79,443,true,LAX,North America,Los Angeles,210,3.58
31.12.75.143,443,true,LAX,North America,Los Angeles,184,3.58
45.131.208.16,443,true,LAX,North America,Los Angeles,174,3.58
5.10.244.181,443,true,LAX,North America,Los Angeles,180,3.58
130.250.137.229,443,true,LAX,North America,Los Angeles,191,3.58
130.250.137.160,443,true,LAX,North America,Los Angeles,183,3.57
45.131.211.80,443,true,LAX,North America,Los Angeles,175,3.57
5.10.245.95,443,true,LAX,North America,Los Angeles,181,3.57
130.250.137.28,443,true,LAX,North America,Los Angeles,171,3.57
5.10.245.129,443,true,LAX,North America,Los Angeles,189,3.57
45.131.209.115,443,true,LAX,North America,Los Angeles,168,3.57
45.131.208.232,443,true,LAX,North America,Los Angeles,173,3.56
5.10.244.167,443,true,LAX,North America,Los Angeles,181,3.56
5.10.244.155,443,true,LAX,North America,Los Angeles,173,3.56
5.10.244.210,443,true,LAX,North America,Los Angeles,261,3.56
108.162.194.247,443,true,LAX,North America,Los Angeles,183,3.56
5.10.244.97,443,true,LAX,North America,Los Angeles,182,3.56
5.10.247.186,443,true,LAX,North America,Los Angeles,171,3.56
108.162.194.155,443,true,LAX,North America,Los Angeles,181,3.56
45.131.208.190,443,true,LAX,North America,Los Angeles,174,3.55
5.10.246.134,443,true,LAX,North America,Los Angeles,226,3.55
45.131.209.225,443,true,LAX,North America,Los Angeles,179,3.55
5.10.244.65,443,true,LAX,North America,Los Angeles,183,3.55
5.10.245.17,443,true,LAX,North America,Los Angeles,198,3.55
5.10.245.12,443,true,LAX,North America,Los Angeles,177,3.55
5.10.245.98,443,true,LAX,North America,Los Angeles,171,3.55
108.162.194.178,443,true,LAX,North America,Los Angeles,183,3.54
31.12.75.49,443,true,LAX,North America,Los Angeles,184,3.54
45.131.211.184,443,true,LAX,North America,Los Angeles,187,3.54
5.10.246.118,443,true,LAX,North America,Los Angeles,189,3.54
135.84.64.10,443,true,LAX,North America,Los Angeles,186,3.54
5.10.245.198,443,true,LAX,North America,Los Angeles,184,3.54
5.10.244.117,443,true,LAX,North America,Los Angeles,182,3.53
5.10.244.159,443,true,LAX,North America,Los Angeles,180,3.53
45.131.209.216,443,true,LAX,North America,Los Angeles,173,3.53
45.131.211.60,443,true,LAX,North America,Los Angeles,253,3.53
45.131.208.58,443,true,LAX,North America,Los Angeles,175,3.53
5.10.245.157,443,true,LAX,North America,Los Angeles,198,3.53
130.250.137.203,443,true,LAX,North America,Los Angeles,208,3.53
45.131.210.104,443,true,LAX,North America,Los Angeles,186,3.52
45.131.209.65,443,true,LAX,North America,Los Angeles,170,3.52
45.202.113.242,443,true,LAX,North America,Los Angeles,169,3.52
5.10.245.134,443,true,LAX,North America,Los Angeles,193,3.51
130.250.137.207,443,true,LAX,North America,Los Angeles,249,3.51
45.131.210.129,443,true,LAX,North America,Los Angeles,179,3.51
130.250.137.252,443,true,LAX,North America,Los Angeles,202,3.51
45.131.211.96,443,true,LAX,North America,Los Angeles,184,3.51
5.10.247.81,443,true,LAX,North America,Los Angeles,174,3.51
45.202.113.239,443,true,LAX,North America,Los Angeles,172,3.51
31.12.75.51,443,true,LAX,North America,Los Angeles,182,3.51
5.10.244.219,443,true,LAX,North America,Los Angeles,220,3.51
5.10.246.40,443,true,LAX,North America,Los Angeles,190,3.50
5.10.247.129,443,true,LAX,North America,Los Angeles,169,3.50
5.10.246.100,443,true,LAX,North America,Los Angeles,184,3.50
5.10.244.101,443,true,LAX,North America,Los Angeles,176,3.50
5.10.244.191,443,true,LAX,North America,Los Angeles,186,3.50
45.131.210.2,443,true,LAX,North America,Los Angeles,183,3.50
108.162.194.50,443,true,LAX,North America,Los Angeles,177,3.50
5.10.247.47,443,true,LAX,North America,Los Angeles,188,3.50
45.131.210.4,443,true,LAX,North America,Los Angeles,176,3.50
5.10.245.23,443,true,LAX,North America,Los Angeles,187,3.50
45.131.208.6,443,true,LAX,North America,Los Angeles,181,3.50
5.10.244.75,443,true,LAX,North America,Los Angeles,231,3.50
5.10.244.10,443,true,LAX,North America,Los Angeles,185,3.49
130.250.137.212,443,true,LAX,North America,Los Angeles,187,3.48
5.10.246.131,443,true,LAX,North America,Los Angeles,177,3.48
130.250.137.86,443,true,LAX,North America,Los Angeles,175,3.48
108.162.194.150,443,true,LAX,North America,Los Angeles,181,3.48
108.162.194.172,443,true,LAX,North America,Los Angeles,184,3.48
45.202.113.235,443,true,LAX,North America,Los Angeles,176,3.48
5.10.244.86,443,true,LAX,North America,Los Angeles,182,3.48
45.131.210.179,443,true,LAX,North America,Los Angeles,171,3.48
31.12.75.59,443,true,LAX,North America,Los Angeles,179,3.48
45.131.209.122,443,true,LAX,North America,Los Angeles,179,3.48
45.131.210.49,443,true,LAX,North America,Los Angeles,185,3.48
130.250.137.192,443,true,LAX,North America,Los Angeles,183,3.48
45.131.208.9,443,true,LAX,North America,Los Angeles,173,3.47
130.250.137.202,443,true,LAX,North America,Los Angeles,176,3.47
135.84.64.11,443,true,LAX,North America,Los Angeles,179,3.47
5.10.244.222,443,true,LAX,North America,Los Angeles,180,3.47
130.250.137.234,443,true,LAX,North America,Los Angeles,177,3.47
5.10.244.148,443,true,LAX,North America,Los Angeles,175,3.47
45.131.210.70,443,true,LAX,North America,Los Angeles,180,3.47
45.202.113.121,443,true,LAX,North America,Los Angeles,176,3.47
45.131.210.69,443,true,LAX,North America,Los Angeles,174,3.46
45.131.210.219,443,true,LAX,North America,Los Angeles,184,3.46
108.162.194.0,443,true,LAX,North America,Los Angeles,182,3.46
130.250.137.133,443,true,LAX,North America,Los Angeles,185,3.46
5.10.244.178,443,true,LAX,North America,Los Angeles,176,3.46
5.10.246.85,443,true,LAX,North America,Los Angeles,182,3.46
45.131.208.228,443,true,LAX,North America,Los Angeles,175,3.46
130.250.137.213,443,true,LAX,North America,Los Angeles,205,3.46
45.202.113.229,443,true,LAX,North America,Los Angeles,185,3.45
5.10.246.116,443,true,LAX,North America,Los Angeles,183,3.45
130.250.137.254,443,true,LAX,North America,Los Angeles,186,3.45
5.10.247.105,443,true,LAX,North America,Los Angeles,184,3.45
5.10.246.174,443,true,LAX,North America,Los Angeles,164,3.45
130.250.137.30,443,true,LAX,North America,Los Angeles,190,3.45
45.131.209.121,443,true,LAX,North America,Los Angeles,182,3.44
45.131.210.51,443,true,LAX,North America,Los Angeles,179,3.44
5.10.244.59,443,true,LAX,North America,Los Angeles,178,3.44
31.12.75.131,443,true,LAX,North America,Los Angeles,184,3.44
45.131.208.237,443,true,LAX,North America,Los Angeles,179,3.44
5.10.244.230,443,true,LAX,North America,Los Angeles,182,3.44
108.162.194.23,443,true,LAX,North America,Los Angeles,247,3.43
45.131.210.99,443,true,LAX,North America,Los Angeles,181,3.43
135.84.64.34,443,true,LAX,North America,Los Angeles,183,3.43
5.10.247.75,443,true,LAX,North America,Los Angeles,183,3.43
45.131.210.45,443,true,LAX,North America,Los Angeles,181,3.43
31.12.75.223,443,true,LAX,North America,Los Angeles,189,3.43
31.12.75.90,443,true,LAX,North America,Los Angeles,263,3.43
